Nama Produk;Harga;Diskon;Harga Sebelum Diskon;Lokasi;Toko;Rating;Terjual;Estimasi Terjual;Jenis;Proses;Origin;Negara;Jumlah gram
Kopi Arabika Flores 500 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;115500;0;115500;Tangerang;Caffeine Dope;4.8;30+;30;Arabika;Other;Flores;Lokal;500
Kopi Arabika Congo Kawa Kivu 500 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;185000;0;185000;Tangerang;Caffeine Dope;5.0;8;8;Arabika;Other;Congo;Internasional;500
Kopi Arabika Solok 500 Gr Single Origin Bean/Biji & Ground/Bubuk;115500;0;115500;Tangerang;Caffeine Dope;5.0;50+;50;Arabika;Other;Solok;Lokal;500
Biji Kopi Arabika Watermelon Smash! 500 gram Specialty Coffee - Biji;268000;0;268000;Bandung;Fugol Coffee;5.0;100+;100;Arabika;Other;Other;Other;500
KOPI ARABIKA AROMANIS 500 gr NATURAL (BIJI / BUBUK) - bubuk halus;203000;0;203000;Bandung;Zero Hour Coffee;5.0;10;10;Arabika;Natural;Halu;Lokal;500
Kopi Arabika Antigua Guatemala 200 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;88000;0;88000;Tangerang;Caffeine Dope;4.9;70+;70;Arabika;Other;Guatemala;Internasional;200
Kopi Arabika Gayo Espresso Base 200g;50000;0;50000;Kab. Bener Meriah;ZARIO COFFEE GAYO;5.0;1;1;Arabika;Other;Gayo;Lokal;Other
Kopi Arabika Import 100 Gram Single Origin - Bean/Biji & Ground/Bubuk;46000;0;46000;Tangerang;Caffeine Dope;5.0;18;18;Arabika;Other;Other;Other;100
Kopi Arabika Gayo Wine Process 250g - roastbean;75000;0;75000;Kab. Bener Meriah;ZARIO COFFEE GAYO;5.0;9;9;Arabika;Wine;Gayo;Lokal;Other
Kopi Arabika Aceh Gayo WINE Process 200 Gram - Bean - Biji;75000;0;75000;Tangerang;Caffeine Dope;4.9;100+;100;Arabika;Wine;Gayo;Lokal;200
Kopi Arabika Ijen Raung NATURAL 1 KG Single Origin Arabica Coffee - BIJI;300000;0;300000;Jakarta Barat;WATERGROUND COFFEE;5.0;5;5;Arabika;Natural;Ijen;Lokal;1000
Kopi Arabika Ijen Raung 1 KG Single Origin Arabica Coffee - BIJI;240000;0;240000;Jakarta Barat;WATERGROUND COFFEE;0.0;2;2;Arabika;Other;Ijen;Lokal;1000
Kopi Arabika Toraja Sapan 500 GRAM (Bubuk dan Biji) - Medium Roasting,  Bubuk Halus;132000;29;185000;Makassar;Malotong Toraja Coffee;4.9;1 rb+;1000;Arabika;Other;Toraja;Lokal;500
Kopi Teras - Kopi arabika 250 gram;90000;0;90000;Kab. Sleman;Klethikan_JengAyu;0.0;0;0;Arabika;Other;Other;Other;250
Kopi Arabika Da Torres Brazil 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;0;46500;Tangerang;Caffeine Dope;4.8;60+;60;Arabika;Other;Brazil;Internasional;100
TANAMERA COFFEE - Espresso Blend / Kopi Arabika 250 Gram 3 Varian - Find Grind;133285;5;140300;Jakarta Selatan;H Mart Official Shop;4.8;100+;100;Blend;Other;Blend;Other;250
